Count,Expected Result,Final State,Variable Count,Clause Count,File Location,Result,Solution Count,Solutions |(Count)(Results)|
1,1,-2,3,7,data\Input.txt,(FALSE),0,
2,1,2,4,8,data\Input.txt,(TRUE),1,|(3)(:3:1:2:)|
3,1,-2,4,10,data\Input.txt,(FALSE),0,
4,1,-2,4,11,data\Input.txt,(FALSE),0,
5,1,2,4,16,data\Input.txt,(TRUE),1,|(4)(:3:2:1:-4:)|
6,1,2,2,1,data\Input.txt,(TRUE),1,|(1)(:-1:)|
