Count,Expected Results,Variable Count,Clause Count,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First
1,1,3,7,SmallToLarge-1,-2,3,0,inf,SmallToLarge-1,-2,3,0,inf,SmallToLarge-2,-1,0,0,-nan(ind),LargeToSmall-1,-1,0,0,-nan(ind),ClauseSize-1,-1,0,0,-nan(ind),ClauseSize-2,-1,0,0,-nan(ind),ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
2,1,4,8,SmallToLarge-1,2,3,1,inf,SmallToLarge-1,-1,0,0,-nan(ind),SmallToLarge-2,-1,0,0,-nan(ind),LargeToSmall-1,-1,0,0,-nan(ind),ClauseSize-1,-1,0,0,-nan(ind),ClauseSize-2,-1,0,0,-nan(ind),ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
3,1,4,10,SmallToLarge-1,-2,11,0,inf,SmallToLarge-1,-1,6,0,inf,SmallToLarge-2,-1,0,0,-nan(ind),LargeToSmall-1,-1,0,0,-nan(ind),ClauseSize-1,-1,0,0,-nan(ind),ClauseSize-2,-1,0,0,-nan(ind),ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
4,1,4,11,SmallToLarge-1,-2,8,0,inf,SmallToLarge-1,-1,5,0,inf,SmallToLarge-2,-1,0,0,-nan(ind),LargeToSmall-1,-1,0,0,-nan(ind),ClauseSize-1,-1,0,0,-nan(ind),ClauseSize-2,-1,0,0,-nan(ind),ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
5,1,4,16,SmallToLarge-1,-1,8,0,inf,SmallToLarge-1,2,4,1,inf,SmallToLarge-2,-1,0,0,-nan(ind),LargeToSmall-1,-1,0,0,-nan(ind),ClauseSize-1,-1,0,0,-nan(ind),ClauseSize-2,-1,0,0,-nan(ind),ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
6,1,2,1,SmallToLarge-1,2,1,1,inf,SmallToLarge-1,-1,0,0,-nan(ind),SmallToLarge-2,-1,0,0,-nan(ind),LargeToSmall-1,-1,0,0,-nan(ind),ClauseSize-1,-1,0,0,-nan(ind),ClauseSize-2,-1,0,0,-nan(ind),ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
