Count,Expected Results,Variable Count,Clause Count,File Location,Result,Solution Count,Compile Time,Analyze Time,Solve Time,Output Time,Clean Time,Total Time
1,1,3,7,data\Input.txt,(FALSE),0,0.0009542,2.1e-06,0.0280642,0.0003064,9.37e-05,0.0322384
2,1,4,8,data\Input.txt,(TRUE),1,0.0014819,2.5e-06,0.0899452,0.0002986,0.0001224,0.0965754
3,1,4,10,data\Input.txt,(FALSE),0,0.001934,2.3e-06,0.181593,0.0004271,0.0001425,0.190239
4,1,4,11,data\Input.txt,(FALSE),0,0.0020076,3.2e-06,0.217599,0.0003249,0.0001386,0.227026
5,1,4,16,data\Input.txt,(TRUE),1,0.0031176,2.5e-06,0.311812,0.0003279,0.0001769,0.3259
6,1,2,1,data\Input.txt,(TRUE),1,0.0001835,1.8e-06,0.0016607,0.0001668,5.5e-05,0.0028078
7,1,4,3,data\Input.txt,(TRUE),1,0.000316,1.9e-06,0.0388015,0.0002976,8.75e-05,0.0407524
8,1,4,4,data\Input.txt,(TRUE),1,0.0004102,1.9e-06,2.62554,0.0003677,9.68e-05,2.62792
