1,2 (9) (2),1 (3) (1),-1 (0) (0),-1 (0) (0),-1 (0) (0),-1 (0) (0),-1 (0) (0),-1 (0) (0),1,4,8,(TRUE),2,(Compile Time: 0),(Analyze Time: 0),(Solve Time: 0.0060004),(Output Time: 0.001),(Clean Time: 0.0010001),(Total Time: 0.0100006)
2,2 (8) (1),1 (5) (1),-1 (1) (0),-1 (0) (0),-1 (0) (0),-1 (0) (0),-1 (0) (0),-1 (0) (0),1,4,16,(TRUE),1,(Compile Time: 0),(Analyze Time: 0),(Solve Time: 0.0030002),(Output Time: 0),(Clean Time: 0.0010001),(Total Time: 0.0060004)
